Entity Number,Type,Value,Note,,,,,,
134,date,"Friday, Oct. 16, 1903",,,,,,,
135,loc,Willowbrook Cottage,accomodation,,,,,,
136,loc,Beverly,city,,,,,,
137,per,Gertrude,,,,,,,
138,per,Mrs. Tyler,,,,,,,
139,per,"""Brother Charles""",,,,,,,
140,per,Gertrude,,,,,,,
141,per,[Gertrude's Mother],,,,,,,
142,per,Rabbi Fleischer,religious figure,,,,,,
144,per,Michliszanski,,,,,,,
145,per,Goldman,,,,,,,
147,per,Tolstoi,artist-writer,,,,,,
148,per,Hinda Coen (née Schwarz),,,,,,,
149,per,James,,,,,,,
150,loc,Green Hill,accomodation,,,,,,
151,loc,Brookline,city,,,,,,
152,date,"Saturday, Oct. 17, 1903",,,,,,,
153,per,Mrs. Jack Gardner,art collector,,,,,,
154,per,Mrs. Gardner,art collector,,,,,,
155,per,Proctor the musician,artist-musician,,,,,,
156,loc,Symphony Concert,cultural heritage institution,,,,,,
157,misc,Symphony Concert,cultural,,,,,,
158,org,[Boston Symphony Orchestra],cultural,,,,,,
159,per,Tschaikowski,artist-composer,,,,,,
160,misc,[Tschaikowski's music],,,,,,,
161,per,Bruneau,artist-composer,,,,,,
162,misc,[Bruneau's music],,,,,,,
163,per,Brahms,artist-composer,,,,,,
164,misc,[Brahms' music],,,,,,,
166,per,Mrs. Sarah Whitman,artist-painter,,,,,,
167,per,Josiah Royce,professor,,,,,,
168,per,Bob,,,,,,,
169,per,George Moore,scholar,,,,,,
170,per,Mrs. Parkman,,,,,,,
171,per,[Mr. Higginson],public figure,,,,,,
172,per,Mrs. Higginson,,,,,,,
173,misc,the Concerts,cultural,,,,,,
174,per,Mrs. Gardner,art collector,,,,,,
176,loc,Green Hill,accomodation,,,,,,
177,loc,Brookline,city,,,,,,
178,date,"Sunday, Oct. 18, 1903",,,,,,,
179,per,her,art collector,,,,,,
180,loc,Arboretum,cultural heritage institution,,,,,,
181,loc,Country Club,club,,,,,,
182,per,famous divorcée,,,,,,,
183,per,famous corespondent,,,,,,,
184,per,Mr. Dwight,,,,,,,
185,per,Mr. Swift,,,,,,,
186,per,Santayana,scholar,,,,,,
188,per,Santayana,scholar,,,,,,
189,per,Mr. Strong,public figure ,,,,,,
190,loc,Lakewood,city,,,,,,
191,loc,Green Hill,accomodation,,,,,,
192,loc,Brookline,city,,,,,,
193,date,"Monday, Oct. 19, 1903",,,,,,,
194,loc,Boston,city,,,,,,
195,loc,the Library,cultural heritage institution,,,,,,
196,per,Puvis,artist-painter,,,,,,
197,misc,[paintings by Puvis],painting,,,,,,
199,misc,the large one around the door of Bates hall,mural,,,,,,
201,loc,Bates Hall,"cultural heritage institution, part of",,,,,,
202,per,Abbey,artist-painter,,,,,,
203,misc,The Abbeys,mural,,,,,,
205,per,Sargeant,artist-painter,,,,,,
206,misc,The Sargeants,mural,,,,,,
208,per,Mrs. Gardner,public figure,,,,,,
209,per,Mr. Proctor,artist-musician,,,,,,
210,per,Evelyn,,,,,,,
211,per,Ellen Hale,artist-painter,,,,,,
212,per,Edward Everett Hale,scholar,,,,,,
214,per,Mrs. Gardner,art collector,,,,,,
215,per,Mr. John Grey,lawyer,,,,,,
216,per,his wife,,,,,,,
218,per,Bernhard,art historian,,,,,,
219,per,Mrs. Gardner,art collector,,,,,,
220,per,Clayton Johns,,,,,,,
221,loc,Green Hill,accomodation,,,,,,
222,loc,Brookline,city,,,,,,
223,date,"Tuesday, Oct. 20, 1903",,,,,,,
224,per,Helen Hopekirk (Wilson),artist-musician,,,,,,
225,per,her husband,,,,,,,
227,per,Mrs. Gardner,art collector,,,,,,
228,loc,Art Museum,cultural heritage institution,,,,,,
229,per,Chalfin,artist-painter / curator,,,,,,
230,misc,scroll,?,,,,,,
231,date,1250,,,,,,,
234,loc,the Museum,cultural heritage institution,,,,,,
235,per,Gerricke,music administrator,,,,,,
237,loc,Jordan Hall,"school, part of",,,,,,
238,loc,Conservatory,school ,,,,,,
239,misc,C major toccata and fugue of Bach,,,,,,,
240,per,Bach,artist-composer,,,,,,
242,per,Mr. Higginson,public figure,,,,,,
243,misc,concerto by Schumann (A minor),,,,,,,
244,per,Schumann,artist-composer,,,,,,
245,misc,"""Ouverture"" by Chaplin",,,,,,,
246,per,Chaplin,artist-musician,,,,,,
247,misc,Eroica,,,,,,,
248,per,[Beethoven],artist-composer,,,,,,
250,per,[Mr. Lang],,,,,,,
251,per,Mrs. Lang,,,,,,,
252,loc,Green Hill,accomodation,,,,,,
253,loc,Brookline,city,,,,,,
254,date,"Wednesday, Oct. 21, 1903",,,,,,,
255,loc,the Library,cultural heritage location,,,,,,
256,per,T.H. Perry,,,,,,,
258,per,Ellen Hale,artist-painter,,,,,,
259,loc,the gardens,landmark,,,,,,
260,loc,Franklin Park,landmark,,,,,,
261,per,Owen Wister,artist-playwright,,,,,,
263,per,Dunstan Farnum,artist-actor,,,,,,
264,per,Webster,,,,,,,
265,loc,Virginia,state,,,,,,
267,loc,Green Hill,accomodation,,,,,,
268,loc,Brookline,city,,,,,,
269,date,"Thursday, Oct. 22, 1903",,,,,,,
270,misc,exhibition of Japanese things,cultural,,,,,,
271,per,Mr. Ross (Denman),public figure / artist-painter,,,,,,
273,per,Mr. Theodore Dwight,,,,,,,
274,per,Mr. Owen Wister,artist-playwright,,,,,,
276,per,William James,scholar,,,,,,
277,per,Mrs. Whitman,artist-painter,,,,,,
278,per,Mrs. Bell,,,,,,,
279,per,"""Piggy"" Everett",,,,,,,
280,per,E.E. Hale,scholar,,,,,,
281,loc,Green Hill,accomodation,,,,,,
282,loc,Brookline,city,,,,,,
283,date,"Friday, Oct. 23, 1903",,,,,,,
284,per,Mrs. Gardner,art collector,,,,,,
285,loc,Beverly Farms,neighborhood,,,,,,
286,per,Mrs. Whitman,artist-painter,,,,,,
287,per,Mrs. Parkman,,,,,,,
288,per,Mr. Barton,architect,,,,,,
289,per,Miss Pendleton,,,,,,,
290,loc,Philadelphia,city,,,,,,
292,per,Botticelli,artist-painter,,,,,,
293,misc,photographs of false Botticellis,photography,,,,,,
294,per,Mrs. Whitman,artist-painter,,,,,,
295,per,B.B.,,,,,,,
296,per,Mr. Dwight,,,,,,,
298,per,Mrs. Whitman,artist-painter,,,,,,
300,loc,Green Hill,accomodation,,,,,,
301,loc,Brookline,city,,,,,,
302,date,"Saturday, Oct. 24, 1903",,,,,,,
303,per,Mrs. Gardner,art collector,,,,,,
304,loc,Cambridge,city,,,,,,
305,loc,The Union,,,,,,,
306,per,Archie Coolidge,professor,,,,,,
307,misc,Football Match,cultural,,,,,,
308,org,Harvard,athletic team,,,,,,
309,org,Brown,athletic team,,,,,,
310,org,DKE neophytes, misc,,,,,,
311,loc,Symphony Concert,cultural heritage institution,,,,,,
312,misc,Symphony Concert,cultural,,,,,,
313,misc,Beethoven 115,,,,,,,
314,per,[Beethoven],artist-composer,,,,,,
315,misc,Waldweben,,,,,,,
316,per,Wagner,artist-composer,,,,,,
317,misc,Violin Concerto,,,,,,,
318,per,Mendelssohn ,artist-composer,,,,,,
319,misc,a piece (tango) of the soloist,,,,,,,
320,per,the soloist,artist-musician,,,,,,
321,per,Mr. Arbos,artist-musician,,,,,,
322,per,[Alexander Glazunov],artist-composer,,,,,,
323,misc,Glazonnoff symphony,,,,,,,
325,per,Bach,artist-composer,,,,,,
326,loc,Green Hill,accomodation,,,,,,
327,loc,Brookline,city,,,,,,
328,date,"Sunday, Oct. 25, 1903",,,,,,,
329,per,Mrs. Gardner,art collector,,,,,,
330,per,Mr. Proctor,artist-musician,,,,,,
331,loc,Dedham,city,,,,,,
332,per,Mr. Foote,artist-musician,,,,,,
333,loc,Berkeley St. Church,religious,,,,,,
334,per,his charming daughter,,,,,,,
335,per,nice wife,,,,,,,
336,per,Mr. Harold Bauer,artist-musician,,,,,,
337,per,Miss Foote,,,,,,,
338,per,Scarlatti,artist-composer,,,,,,
339,misc,[Scarlatti composition],,,,,,,
340,misc,"""Irish Melody""",,,,,,,
341,per,her father ,artist-musician,,,,,,
343,per,Mrs. Thorndyke,,,,,,,
344,per,Sherman,,,,,,,
345,per,Miss Dana,,,,,,,
346,per,Charley Gibson,,,,,,,
347,per,"[a Bavarian Count, unnamed]",,,,,,,
348,per,Mr. Swift,,,,,,,
349,per,Mr. Chalfin,artist-painter / curator,,,,,,
350,per,Miss Pendleton,,,,,,,
351,per,Mrs. Gardner,art collector,,,,,,
353,per,Miss Seward,artist-writer,,,,,,
354,per,Mrs. Gardner's,art collector,,,,,,
356,loc,Plymouth Inn,accomodation,,,,,,
357,loc,Northampton,city,,,,,,
358,date,"Monday, Oct. 26, 1903",,,,,,,
359,per,our hostess,art collector,,,,,,
360,loc,Boston Museum,cultural heritage institution,,,,,,
361,per,Bernhard,art historian,,,,,,
362,per,Mr. Higginson,public figure,,,,,,
363,misc,voluptuous nude lady,?,,,,,,
364,per,Bonifazio,artist-painter,,,,,,
365,per,Mr. Francis Hooper,architect,,,,,,
367,per,Berenson,art historian,,,,,,
368,per,B.B.,art historian,,,,,,
369,per,Mr. Higginson,public figure,,,,,,
371,per,Abe,,,,,,,
372,loc,Springfield,city,,,,,,
373,per,Senda,teacher,,,,,,
374,per,Bessie,teacher,,,,,,
375,loc,Plymouth Inn,accomodation,,,,,,
376,loc,Northampton,city,,,,,,
377,date,"Tuesday, Oct. 27, 1903",,,,,,,
378,per,Owen Wister,artist-playwright,,,,,,
380,per,the Virginian in person,artist-actor,,,,,,
382,per,Norman Hapgood,artist-writer,,,,,,
383,org,Harvard,academic,,,,,,
384,per,Owen Wister,artist-playwright,,,,,,
385,loc,London,city,,,,,,
386,loc,Japan,country,,,,,,
387,per,Sadi Yacco,artist-actor,,,,,,
389,per,Senda,teacher,,,,,,
390,per,Gardiner,professor,,,,,,
391,per,Pierce,professor,,,,,,
392,per,Souza,professor,,,,,,
393,per,Jordan,professor,,,,,,
394,per,Hubbard,professor,,,,,,
395,per,Pres. Seely,public figure,,,,,,
396,loc,Plymouth Inn,accomodation,,,,,,
397,loc,Northampton,city,,,,,,
398,date,"Wednesday, Oct. 28, 1903",,,,,,,
399,loc,Hatfield,city,,,,,,
401,per,Florence,,,,,,,
404,per,Senda,teacher,,,,,,
405,per,MIss Moffat,,,,,,,
406,per,Mr. George Cabe,artist-writer,,,,,,
407,misc,Antecellere,horse,,,,,,
409,per,Florence,,,,,,,
410,per,Prof. Phelps,professor,,,,,,
412,loc,Plymouth Inn,accomodation,,,,,,
413,loc,Northampton,city,,,,,,
414,date,"Thursday, Oct. 29, 1903",,,,,,,
415,misc,my lecture,lecture,,,,,,
416,per,The Hinckleys,,,,,,,
417,per,The Hinckleys,,,,,,,
418,loc,Surrey,region,,,,,,
419,loc,Umbria,region,,,,,,
420,misc,"""How to Enjoy the Old Masters""",lecture,,,,,,
421,loc,Smith College,school,,,,,,
422,org,Old Masters,art historic,,,,,,
423,per,President Seelye,public figure,,,,,,
424,org,[Smith College],academic,,,,,,
427,per,Mother,,,,,,,
428,per,Mrs. Rosseter,,,,,,,
429,loc,Dewey House,"school, part of",,,,,,
430,per,Mr. Gardiner,professor,,,,,,
431,loc,Smith College,school ,,,,,,
432,date,"Friday, Oct. 30, 1903",,,,,,,
433,per,Mrs. Berenson,,,,,,,
435,per,Senda,teacher,,,,,,
436,per,Bessie,teacher,,,,,,
439,per,Duse,artist-actor,,,,,,
440,loc,Amherst,school,,,,,,
441,per,Mr. Wilkins,professor,,,,,,
442,per,Prof. Este,professor,,,,,,
443,loc,President's house,"school, part of",,,,,,
444,loc,Mt. Tom,landmark,,,,,,
445,per,[Prof. Pearce],profesor,,,,,,
446,per,[Prof. Sioussat],profesor,,,,,,
447,loc,the river,landmark,,,,,,
448,loc,Smith College,school ,,,,,,
449,date,"Saturday, Oct. 31, 1903",,,,,,,
450,per,Miss Jordan,,,,,,,
451,per,Miss Bourland,,,,,,,
452,loc,Deerfield,city,,,,,,
453,loc,quaint burial ground,landmark,,,,,,
455,per,Senda,teacher,,,,,,
456,misc,Basket Ball game ,cultural,,,,,,
457,per,Senda,teacher,,,,,,
458,per,Bessie,teacher,,,,,,
459,per,Abe,,,,,,,
460,per,the Mother,,,,,,,
461,per,the Father,,,,,,,
463,per,Bernhard,art historian,,,,,,
466,per,Miss Hubbard,,,,,,,
467,per,Mr. Field,,,,,,,
468,per,Mr. Cooper,,,,,,,
469,per,Miss Hubbard,,,,,,,
470,per,Senda,teacher,,,,,,
473,loc,Smith College,school ,,,,,,
474,date,"Sunday, Nov. 1, 1903",,,,,,,
475,per,Miss Mitchell,,,,,,,
476,loc,Morris House,"school, part of",,,,,,
477,per,The Hinckleys,,,,,,,
478,per,The Hinckleys,,,,,,,
479,per,President Seelye,public figure,,,,,,
480,per,Miss Hesse,,,,,,,
481,per,Miss Hoffat,,,,,,,
482,per,Zanetti,,,,,,,
483,per,Mr. Cable,artist-writer,,,,,,
485,per,B.B.,art historian,,,,,,
486,per,Mr. Pearce,professor,,,,,,
487,per,Mr. Sioussat,professor,,,,,,
488,per,Miss Scott,,,,,,,
490,per,Gertrude Burton,social reformer,,,,,,
491,per,Einstein,scholar,,,,,,
493,loc,New Haven House,accomodation,,,,,,
494,loc,New Haven,city,,,,,,
495,date,"Monday, Nov. 2, 1903",,,,,,,
496,org,The Berensons,family unit,,,,,,
499,misc,Jarves Collection,art collection,,,,,,
500,loc,Pisa,city,,,,,,
501,loc,Arezzo,city,,,,,,
502,per,Wier,professor,,,,,,
503,per,Niemeyer,professor,,,,,,
504,per,Ellen Hale,artist-painter,,,,,,
505,per,Miss Jackson,,,,,,,
506,org,the Whitneys,family unit,,,,,,
507,per,Beatrice Chamberlain,,,,,,,
508,per,Prof. Whitney,professor,,,,,,
509,per,[Mrs. _Whitney],,,,,,,
511,per,Ellen Hale,artist-painter,,,,,,
512,per,Evelyn,,,,,,,
513,per,Helen Fry,,,,,,,
514,per,Roger,,,,,,,
516,loc,New Haven House,accomodation,,,,,,
517,loc,New Haven,city,,,,,,
518,date,"Tuesday, Nov. 3, 1903",,,,,,,
519,loc,the gallery,cultural heritage institution,,,,,,
520,per,Gentile de Fabriano,artist-painter,,,,,,
521,misc,Madonna,painting,,,,,,
522,per,Neroccio,artist-painter,,,,,,
523,misc,Annunciation,painting,,,,,,
524,per,Pollajuolo,artist-painter,,,,,,
525,misc,Hercules and Deianin,painting,,,,,,
526,per,P. Lorenzetti,artist-painter,,,,,,
527,misc,Assunta,painting,,,,,,
528,per,Sassetta,artist-painter,,,,,,
529,misc,Temptations of Antony,painting,,,,,,
530,per,Simone Martini,artist-painter,,,,,,
531,misc,St. Martin,painting,,,,,,
532,per,Benvenuto <di Giovanni>,artist-painter,,,,,,
533,misc,Madonna,painting,,,,,,
534,per,Benvenuto <di Giovanni>,artist-painter,,,,,,
535,misc,Love Bound <by Maidens>,painting,,,,,,
536,per,Girolamo da Cremona,artist-painter,,,,,,
537,misc,Nativity,painting,,,,,,
538,per,Ghirlandajo,artist-painter,,,,,,
539,misc,Woman's Head,painting,,,,,,
540,per,Sano,artist-painter,,,,,,
541,misc,Adoration of the Magi,painting,,,,,,
542,per,Sano,artist-painter,,,,,,
543,misc,Coronation <of the Virgin>,painting,,,,,,
544,per,Giovanni di Paolo,artist-painter,,,,,,
545,per,Miss Hale,artist-painter,,,,,,
546,per,Mr. Jackson,,,,,,,
547,loc,Country Club,club,,,,,,
548,loc,Hotel Somerset,accomodation,,,,,,
549,loc,Boston,city,,,,,,
550,date,"Wednesday, Nov. 4, 1903",,,,,,,
551,per,Bernhard,art historian,,,,,,
552,loc,New York,city,,,,,,
553,per,Hutchins Hapgood,artist-writer,,,,,,
554,per,Neith,artist-writer,,,,,,
555,per,Neith's father,,,,,,,
556,per,Hutch,artist-writer,,,,,,
557,per,Peter Dunne ,artist-writer,,,,,,
558,misc,Autobiography of a Thief ,book,,,,,,
559,misc,The Forerunner,book,,,,,,
560,loc,New York,city,,,,,,
561,per,Bernhard,art historian,,,,,,
562,per,Davis,art collector,,,,,,
563,per,Mr. Cannon,,,,,,,
564,loc,Chase Bank,business,,,,,,
565,per,Mr. Cannon,,,,,,,
567,per,Bernhard,art historian,,,,,,
568,loc,Jarves Collection,"school, part of",,,,,,
570,per,Prof. Niemeyer,professor,,,,,,
571,misc,"the ""Botticelli""",painting,,,,,,
572,per,Botticelli,artist-painter,,,,,,
573,misc,The Birth of Venus,painting,,,,,,
574,per,[Botticelli],artist-painter,,,,,,
576,per,Mr. Randall,artist-photographer,,,,,,
577,loc,New Haven,city,,,,,,
578,loc,Hartford,city,,,,,,
579,per,Prof. Wier,professor,,,,,,
581,per,Mr. Randall's wife,scholar,,,,,,
582,loc,Yale,school,,,,,,
583,misc,"""The Origins of Spenser's Mythology""",thesis,,,,,,
584,per,Judge Bronson,public figure,,,,,,
585,misc,[painting by Luini],painting,,,,,,
586,per,Luini,artists-painter,,,,,,
587,misc,a copy of a Titian,painting,,,,,,
588,per,Titian,artists-painter,,,,,,
589,per,Mrs. Judge,,,,,,,
591,per,Ellen Hale,artist-painter,,,,,,
592,per,Mr. Jackson,,,,,,,
593,misc,"""the Knickerbocker Express""",transportation vessel,,,,,,
596,per,Lady Lou,public figure,,,,,,
597,per,Bertie,artist-writer,,,,,,
598,misc,Bertie's book,book,,,,,,
599,misc,The Spectator,magazine,,,,,,
602,org,Select Circle of Thinkers,misc,,,,,,
605,per,Mr. Russell,artist-writer,,,,,,
606,per,Logan,artist-writer,,,,,,
607,per,Bertie,artist-writer,,,,,,
608,org,Select Circle of Thinkers,misc,,,,,,
609,misc,Bertie's book,book,,,,,,
610,per,Bertie,artist-writer,,,,,,
613,loc,Hotel Somerset,accomodation,,,,,,
614,loc,Boston,city,,,,,,
615,date,"Thursday, Nov. 5, 1903",,,,,,,
617,loc,Commonwealth Avenue,street,,,,,,
618,per,B.B.,art historian,,,,,,
619,per,Mrs. Taylor,,,,,,,
620,loc,Bay State Road,street,,,,,,
621,per,Wren,,,,,,,
622,loc,Chichester,city,,,,,,
623,per,Mrs. Taylor,,,,,,,
624,per,Mrs. Gardner,art collector,,,,,,
625,loc,Green Hill,,,,,,,
626,org,the Government,political,,,,,,
627,loc,her Museum,cultural heritage institution,,,,,,
630,per,B.B.,art historian,,,,,,
632,per,Matthew Pritchard,art historian,,,,,,
633,per,Ned Warren,art collector,,,,,,
634,per,Director of the Museum,public figure,,,,,,
635,per,Davis,art collector,,,,,,
636,loc,the Museum,cultural heritage institution,,,,,,
637,misc,The famous forgery,painting,,,,,,
638,misc,The Donna Laura Minghetti Leonardo,painting,,,,,,
639,per,Leonardo,artist-painter,,,,,,
640,per,Davis,art collector,,,,,,
642,per,Pritchard,art historian,,,,,,
644,loc,Hotel Somerset,accomodation,,,,,,
645,loc,Boston,city,,,,,,
646,date,"Friday, Nov. 6, 1903",,,,,,,
647,per,the parents [Mr. Berenson],,,,,,,
648,per,the parents [Mrs. Berenson],,,,,,,
649,loc,Dorchester,neighborhood,,,,,,
650,per,B.B.,art historian,,,,,,
651,loc,the Museum,cultural heritage institution,,,,,,
652,per,Chalfin,artist-painter / curator,,,,,,
654,misc,[Japanese art],art described by region,,,,,,
655,misc,Chinese art,art described by region,,,,,,
656,per,Roger Fry,artist-painter / art critic,,,,,,
658,per,Mrs. Barrett Wendell,,,,,,,
659,per,Mrs. Perry,,,,,,,
661,per,Puvis de Chavannes,artist-painter,,,,,,
662,misc,portrait by Potter,painting,,,,,,
663,per,Potter,artist-painter,,,,,,
666,per,Miss Grace Norton,scholar,,,,,,
667,loc,Cambridge,city,,,,,,
668,per,Mr. Denman Ross,public figure / artist-painter ,,,,,,
669,per,Miss Norton,scholar,,,,,,
670,per,Apostle,religious figure,,,,,,
673,per,Mr. Ross,artist-painter / scholar,,,,,,
675,per,Sargent,artist-painter,,,,,,
677,misc,[Sienese art],art described by region,,,,,,
679,misc,European,proper noun adjective,,,,,,
680,misc,art of the East,art described by region,,,,,,
681,per,Whistler,artist-painter,,,,,,
683,per,Miss Norton,scholar,,,,,,
684,loc,the City,city,,,,,,
685,per,Prince Henry of Prussia,public figure,,,,,,
686,per,President Elliott,public figure,,,,,,
687,per,Emperor,public figure,,,,,,
688,per,Prince Henry  ,public figure,,,,,,
689,loc,Germanic Museum,cultural heritage institution,,,,,,
691,per,Senda,,,,,,,
692,org,the B.B.'s ,family unit,,,,,,
693,per,Mr. Pierce,professor,,,,,,
694,per,Helen Fry,artist-painter,,,,,,
696,loc,Asylum,medical,,,,,,
697,per,Roger ,,,,,,,
698,per,B.B.,,,,,,,
700,per,Claude Phillips,art historian,,,,,,
701,per,Colvin,curator,,,,,,
702,org,Burlington,business,,,,,,
703,per,Cook,art historian,,,,,,
704,per,B.B.,,,,,,,
706,per,Helen  ,artist-painter,,,,,,
707,loc,Hotel Somerset,accommodation,,,,,,
708,loc,Boston,city,,,,,,
709,date,"Saturday, Nov. 7, 1903",,,,,,,
710,loc,Museum,cultural heritage institution,,,,,,
711,misc,the so-called Rogier van der Weyden,painting,,,,,,
712,per,Rogier van der Weyden,artist-painter,,,,,,
713,misc,the other indubitable Rogiers,painting,,,,,,
714,per,Rogiers,artist-painter,,,,,,
715,misc,the one in Munich,painting,,,,,,
717,per,Bernhard,,,,,,,
718,per,Maître de Flémalle,artist-painter,,,,,,
719,per,Mr. Chalfin,artist-painter / curator,,,,,,
720,per,Mrs. Gardner,art collector,,,,,,
721,per,Cushing-Cochrane,,,,,,,
722,per,Cushing-Cochrane,artist-painter,,,,,,
723,per,Norman Hapgood,artist-writer,,,,,,
724,per,Mrs. G ,art collector,,,,,,
725,loc,Fenway Court,cultural heritage institution,,,,,,
726,per,Norman  ,artist-writer,,,,,,
727,per,Peter Dunn,artist-writer,,,,,,
728,per,Misther Dooley,literary,,,,,,
729,per,Mrs. Abbott,athlete / artist-writer,,,,,,
730,per,"his wife, her daughter",athlete ,,,,,,
731,per,Mrs. Gardner,art collector,,,,,,
732,per,the daughter,athlete ,,,,,,
733,per,Mrs. Abbott,athlete / artist-writer,,,,,,
735,per,Jo Smith,,,,,,,
736,per,Leslie Hopkinson,artist-writer,,,,,,
737,loc,Cambridge,city,,,,,,
738,per,Miss Hughes,religious figure,,,,,,
739,misc,Unitarian,religious,,,,,,
740,per,Miss Yerxes,,,,,,,
741,per,Miss Allyn,,,,,,,
742,per,Miss Hopkinson,artist-writer,,,,,,
743,loc,Radcliffe,school,,,,,,
744,loc,Bertram Hall,"school, part of",,,,,,
745,per,Wadsworth Longfellow,architect,,,,,,
747,loc,Berkeley Street,street,,,,,,
748,loc,Appian Way,street,,,,,,
749,loc,“Annex”,school,,,,,,
750,loc,Brattle Street,street,,,,,,
752,loc,Berkeley Street,street,,,,,,
753,per,B.F.C.C.,,,,,,,
756,per,Santayana,scholar,,,,,,
757,loc,Brattle Street,street,,,,,,
758,per,the Robinsons [Mr Robinson],curator,,,,,,
