note,type,value,exactMatch,partialMatch,matchValue,typeMatch
city,loc,Marquette,,,,False
cultural heritage institution,loc,opera house,,,,False
religious figure,per,his wife,,,,False
,per,Mr. Coates,,,,False
,per,Mr. Berevin,,,,False
,per,Mr. Taylor,,,,False
,per,Mrs. Winty Chandler,,partial,Mrs.,True
art collector,per,Mr. Davis,,partial,Davis,True
country,loc,Egypt,exact,,Egypt,True
historic,loc,Tomb of Totmes IV,,partial,Tomb of Totmes,False
historic,per,Totmes IV,,,,False
historic,loc,Tomb of the Queen Hatasu,,,,False
historic,per,Queen Hatasu,,partial,Tomb of the great Queen Hatasu,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian Way,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Monday, Oct. 12, 1903",,,,False
landmark,loc,Old Point,exact,,Old Point,False
,per,Grandpa Cope,exact,,Grandpa Cope,True
,per,Rachel,exact,,Rachel,True
city,loc,Boston,exact,,Boston,True
,per,Miss Sellers,exact,,Miss Sellers,False
,per,The Father,,,,False
,per,The Mother,,,,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian Way,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Tuesday, Oct. 13, 1903",,,,False
city,loc,Boston,exact,,Boston,True
,per,Rachel,exact,,Rachel,True
address / accomodation,loc,189 Grampian Way,,partial,Grampian Way,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Wednesday, Oct. 14, 1903",,,,False
landmark,loc,Blue Hill,exact,,Blue Hill,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian Way,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Thursday, Oct. 15, 1903",,,,False
city,loc,Cambridge,,,,False
,per,Mrs. Toy,exact,,Mrs. Toy,True
scholar,per,Santayana,exact,,Santayana,False
,per,Leslie Hopkinson,exact,,Leslie Hopkinson,True
,per,Mr. Andrew,,partial,Andrew,True
instrument,misc,Orchestrelle,exact,,Orchestrelle,True
,per,Rachel,exact,,Rachel,True
address / accomodation,loc,189 Grampian Way,,partial,Grampian Way,False
neighborhood,loc,Dorchester,exact,,Dorchester,True
,date,"Friday, Oct. 16, 1903",,,,False
accomodation,loc,Willowbrook Cottage,exact,,Willowbrook Cottage,True
city,loc,Beverly,,,,False
,per,Gertrude,exact,,Gertrude,False
,per,Mrs. Tyler,exact,,Mrs. Tyler,True
,per,"""Brother Charles""",,partial,Charles,True
,per,Gertrude,exact,,Gertrude,False
,per,[Gertrude's Mother],,partial,Gertrude,False
religious figure,per,Rabbi Fleischer,exact,,Rabbi Fleischer,True
,per,Michliszanski,,,,False
,per,Goldman,,partial,Goldman ( poor,False
artist-writer,per,Tolstoi,exact,,Tolstoi,False
,per,Hinda Coen (née Schwarz),,partial,Hinda Coen,True
,per,James,exact,,James,True
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Saturday, Oct. 17, 1903",,,,False
art collector,per,Mrs. Jack Gardner,,partial,Mrs.,True
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
artist-musician,per,Proctor the musician,,,,False
cultural heritage institution,loc,Symphony Concert,exact,,Symphony Concert,False
cultural,misc,Symphony Concert,exact,,Symphony Concert,False
cultural,org,[Boston Symphony Orchestra],,partial,Boston,False
artist-composer,per,Tschaikowski,exact,,Tschaikowski,True
,misc,[Tschaikowski's music],,partial,Tschaikowski,False
artist-composer,per,Bruneau,exact,,Bruneau,True
,misc,[Bruneau's music],,partial,Bruneau,False
artist-composer,per,Brahms,,,,False
,misc,[Brahms' music],,,,False
artist-painter,per,Mrs. Sarah Whitman,,partial,Mrs.,True
professor,per,Josiah Royce,exact,,Josiah Royce,True
,per,Bob,,,,False
scholar,per,George Moore,exact,,George Moore,True
,per,Mrs. Parkman,exact,,Mrs. Parkman,False
public figure,per,[Mr. Higginson],,partial,Higginson,True
,per,Mrs. Higginson,exact,,Mrs. Higginson,True
cultural,misc,the Concerts,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Sunday, Oct. 18, 1903",,,,False
art collector,per,her,,partial,Rabbi Fleischer,True
cultural heritage institution,loc,Arboretum,,partial,Bore,False
club,loc,Country Club,exact,,Country Club,True
,per,famous divorcée,,,,False
,per,famous corespondent,,,,False
,per,Mr. Dwight,,,,False
,per,Mr. Swift,,,,False
scholar,per,Santayana,exact,,Santayana,False
scholar,per,Santayana,exact,,Santayana,False
public figure ,per,Mr. Strong,,,,False
city,loc,Lakewood,exact,,Lakewood,True
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Monday, Oct. 19, 1903",,,,False
city,loc,Boston,exact,,Boston,True
cultural heritage institution,loc,the Library,,,,False
artist-painter,per,Puvis,,,,False
painting,misc,[paintings by Puvis],,,,False
mural,misc,the large one around the door of Bates hall,,partial,Bates Hall,True
"cultural heritage institution, part of",loc,Bates Hall,exact,,Bates Hall,False
artist-painter,per,Abbey,,,,False
mural,misc,The Abbeys,,,,False
artist-painter,per,Sargeant,,,,False
mural,misc,The Sargeants,,,,False
public figure,per,Mrs. Gardner,exact,,Mrs. Gardner,True
artist-musician,per,Mr. Proctor,,,,False
,per,Evelyn,exact,,Evelyn,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
scholar,per,Edward Everett Hale,exact,,Edward Everett Hale,True
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
lawyer,per,Mr. John Grey,,,,False
,per,his wife,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
,per,Clayton Johns,exact,,Clayton Johns,True
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Tuesday, Oct. 20, 1903",,,,False
artist-musician,per,Helen Hopekirk (Wilson),,partial,Wilson,False
,per,her husband,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
cultural heritage institution,loc,Art Museum,exact,,Art Museum,True
artist-painter / curator,per,Chalfin,exact,,Chalfin,False
?,misc,scroll,,,,False
,date,1250,,,,False
cultural heritage institution,loc,the Museum,,,,False
music administrator,per,Gerricke,,,,False
"school, part of",loc,Jordan Hall,exact,,Jordan Hall,False
school ,loc,Conservatory,,,,False
,misc,C major toccata and fugue of Bach,,partial,Bach,True
artist-composer,per,Bach,exact,,Bach,False
public figure,per,Mr. Higginson,,partial,Higginson,True
,misc,concerto by Schumann (A minor),,partial,Schumann,False
artist-composer,per,Schumann,exact,,Schumann,True
,misc,"""Ouverture"" by Chaplin",,partial,Chaplin,False
artist-musician,per,Chaplin,exact,,Chaplin,False
,misc,Eroica,exact,,Eroica,False
artist-composer,per,[Beethoven],,,,False
,per,[Mr. Lang],,,,False
,per,Mrs. Lang,,partial,Mrs.,True
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Wednesday, Oct. 21, 1903",,,,False
cultural heritage location,loc,the Library,,,,False
,per,T.H. Perry,,partial,H. Perry,True
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
landmark,loc,the gardens,,,,False
landmark,loc,Franklin Park,exact,,Franklin Park,True
artist-playwright,per,Owen Wister,exact,,Owen Wister,True
artist-actor,per,Dunstan Farnum,exact,,Dunstan Farnum,True
,per,Webster,exact,,Webster,False
state,loc,Virginia,exact,,Virginia,True
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Thursday, Oct. 22, 1903",,,,False
cultural,misc,exhibition of Japanese things,,partial,Japanese,True
public figure / artist-painter,per,Mr. Ross (Denman),,,,False
,per,Mr. Theodore Dwight,,partial,Theodore Dwight,True
artist-playwright,per,Mr. Owen Wister,,partial,Owen Wister,True
scholar,per,William James,,partial,James,True
artist-painter,per,Mrs. Whitman,,partial,Mrs.,True
,per,Mrs. Bell,,partial,Mrs.,True
,per,"""Piggy"" Everett",,,,False
scholar,per,E.E. Hale,,,,False
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Friday, Oct. 23, 1903",,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
neighborhood,loc,Beverly Farms,,,,False
artist-painter,per,Mrs. Whitman,,partial,Mrs.,True
,per,Mrs. Parkman,exact,,Mrs. Parkman,False
architect,per,Mr. Barton,,,,False
,per,Miss Pendleton,,,,False
city,loc,Philadelphia,,,,False
artist-painter,per,Botticelli,,,,False
photography,misc,photographs of false Botticellis,,,,False
artist-painter,per,Mrs. Whitman,,partial,Mrs.,True
,per,B.B.,,,,False
,per,Mr. Dwight,,,,False
artist-painter,per,Mrs. Whitman,,partial,Mrs.,True
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Saturday, Oct. 24, 1903",,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
city,loc,Cambridge,,,,False
,loc,The Union,,,,False
professor,per,Archie Coolidge,,,,False
cultural,misc,Football Match,,,,False
athletic team,org,Harvard,,,,False
athletic team,org,Brown,,,,False
 misc,org,DKE neophytes,,,,False
cultural heritage institution,loc,Symphony Concert,exact,,Symphony Concert,False
cultural,misc,Symphony Concert,exact,,Symphony Concert,False
,misc,Beethoven 115,,,,False
artist-composer,per,[Beethoven],,,,False
,misc,Waldweben,,,,False
artist-composer,per,Wagner,,,,False
,misc,Violin Concerto,,,,False
artist-composer,per,Mendelssohn ,,,,False
,misc,a piece (tango) of the soloist,,,,False
artist-musician,per,the soloist,,,,False
artist-musician,per,Mr. Arbos,,,,False
artist-composer,per,[Alexander Glazunov],,,,False
,misc,Glazonnoff symphony,,,,False
artist-composer,per,Bach,exact,,Bach,False
accomodation,loc,Green Hill,exact,,Green Hill,False
city,loc,Brookline,exact,,Brookline,True
,date,"Sunday, Oct. 25, 1903",,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
artist-musician,per,Mr. Proctor,,,,False
city,loc,Dedham,,,,False
artist-musician,per,Mr. Foote,,,,False
religious,loc,Berkeley St. Church,,,,False
,per,his charming daughter,,,,False
,per,nice wife,,,,False
artist-musician,per,Mr. Harold Bauer,,,,False
,per,Miss Foote,,,,False
artist-composer,per,Scarlatti,,,,False
,misc,[Scarlatti composition],,,,False
,misc,"""Irish Melody""",,,,False
artist-musician,per,her father ,,,,False
,per,Mrs. Thorndyke,,partial,Mrs.,True
,per,Sherman,,,,False
,per,Miss Dana,,,,False
,per,Charley Gibson,,partial,Gibson,True
,per,"[a Bavarian Count, unnamed]",,,,False
,per,Mr. Swift,,,,False
artist-painter / curator,per,Mr. Chalfin,,partial,Chalfin,False
,per,Miss Pendleton,,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
artist-writer,per,Miss Seward,,,,False
art collector,per,Mrs. Gardner's,,partial,Mrs.,True
accomodation,loc,Plymouth Inn,,,,False
city,loc,Northampton,,,,False
,date,"Monday, Oct. 26, 1903",,,,False
art collector,per,our hostess,,,,False
cultural heritage institution,loc,Boston Museum,,partial,Boston,True
art historian,per,Bernhard,exact,,Bernhard,False
public figure,per,Mr. Higginson,,partial,Higginson,True
?,misc,voluptuous nude lady,,,,False
artist-painter,per,Bonifazio,,,,False
architect,per,Mr. Francis Hooper,,,,False
art historian,per,Berenson,,partial,Mary Whitall Berenson,True
art historian,per,B.B.,,,,False
public figure,per,Mr. Higginson,,partial,Higginson,True
,per,Abe,,,,False
city,loc,Springfield,,,,False
teacher,per,Senda,,,,False
teacher,per,Bessie,,,,False
accomodation,loc,Plymouth Inn,,,,False
city,loc,Northampton,,,,False
,date,"Tuesday, Oct. 27, 1903",,,,False
artist-playwright,per,Owen Wister,exact,,Owen Wister,True
artist-actor,per,the Virginian in person,,partial,Virginia,False
artist-writer,per,Norman Hapgood,,,,False
academic,org,Harvard,,,,False
artist-playwright,per,Owen Wister,exact,,Owen Wister,True
city,loc,London,,,,False
country,loc,Japan,,partial,Japanese,False
artist-actor,per,Sadi Yacco,,,,False
teacher,per,Senda,,,,False
professor,per,Gardiner,,,,False
professor,per,Pierce,,,,False
professor,per,Souza,,,,False
professor,per,Jordan,,partial,Jordan Hall,False
professor,per,Hubbard,,,,False
public figure,per,Pres. Seely,,,,False
accomodation,loc,Plymouth Inn,,,,False
city,loc,Northampton,,,,False
,date,"Wednesday, Oct. 28, 1903",,,,False
city,loc,Hatfield,,,,False
,per,Florence,exact,,Florence,False
teacher,per,Senda,,,,False
,per,MIss Moffat,,,,False
artist-writer,per,Mr. George Cabe,,,,False
horse,misc,Antecellere,,,,False
,per,Florence,exact,,Florence,False
professor,per,Prof. Phelps,,,,False
accomodation,loc,Plymouth Inn,,,,False
city,loc,Northampton,,,,False
,date,"Thursday, Oct. 29, 1903",,,,False
lecture,misc,my lecture,,,,False
,per,The Hinckleys,,,,False
,per,The Hinckleys,,,,False
region,loc,Surrey,,,,False
region,loc,Umbria,,,,False
lecture,misc,"""How to Enjoy the Old Masters""",,,,False
school,loc,Smith College,,,,False
art historic,org,Old Masters,,,,False
public figure,per,President Seelye,,,,False
academic,org,[Smith College],,,,False
,per,Mother,,partial,Mother Superior,True
,per,Mrs. Rosseter,,partial,Mrs.,True
"school, part of",loc,Dewey House,,,,False
professor,per,Mr. Gardiner,,,,False
school ,loc,Smith College,,,,False
,date,"Friday, Oct. 30, 1903",,,,False
,per,Mrs. Berenson,,partial,Mrs.,True
teacher,per,Senda,,,,False
teacher,per,Bessie,,,,False
artist-actor,per,Duse,,,,False
school,loc,Amherst,,,,False
professor,per,Mr. Wilkins,,,,False
professor,per,Prof. Este,,,,False
"school, part of",loc,President's house,,,,False
landmark,loc,Mt. Tom,,,,False
profesor,per,[Prof. Pearce],,,,False
profesor,per,[Prof. Sioussat],,,,False
landmark,loc,the river,,,,False
school ,loc,Smith College,,,,False
,date,"Saturday, Oct. 31, 1903",,,,False
,per,Miss Jordan,,,,False
,per,Miss Bourland,,,,False
city,loc,Deerfield,,,,False
landmark,loc,quaint burial ground,,,,False
teacher,per,Senda,,,,False
cultural,misc,Basket Ball game ,,,,False
teacher,per,Senda,,,,False
teacher,per,Bessie,,,,False
,per,Abe,,,,False
,per,the Mother,,,,False
,per,the Father,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
,per,Miss Hubbard,,,,False
,per,Mr. Field,,,,False
,per,Mr. Cooper,,,,False
,per,Miss Hubbard,,,,False
teacher,per,Senda,,,,False
school ,loc,Smith College,,,,False
,date,"Sunday, Nov. 1, 1903",,,,False
,per,Miss Mitchell,,,,False
"school, part of",loc,Morris House,,,,False
,per,The Hinckleys,,,,False
,per,The Hinckleys,,,,False
public figure,per,President Seelye,,,,False
,per,Miss Hesse,,,,False
,per,Miss Hoffat,,,,False
,per,Zanetti,,,,False
artist-writer,per,Mr. Cable,,,,False
art historian,per,B.B.,,,,False
professor,per,Mr. Pearce,,,,False
professor,per,Mr. Sioussat,,,,False
,per,Miss Scott,,,,False
social reformer,per,Gertrude Burton,,partial,Gertrude,False
scholar,per,Einstein,,,,False
accomodation,loc,New Haven House,,,,False
city,loc,New Haven,,,,False
,date,"Monday, Nov. 2, 1903",,,,False
family unit,org,The Berensons,,,,False
art collection,misc,Jarves Collection,,,,False
city,loc,Pisa,,,,False
city,loc,Arezzo,,,,False
professor,per,Wier,,,,False
professor,per,Niemeyer,,,,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
,per,Miss Jackson,,,,False
family unit,org,the Whitneys,,,,False
,per,Beatrice Chamberlain,,,,False
professor,per,Prof. Whitney,,,,False
,per,[Mrs. _Whitney],,partial,Mrs.,True
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
,per,Evelyn,exact,,Evelyn,False
,per,Helen Fry,,,,False
,per,Roger,,,,False
accomodation,loc,New Haven House,,,,False
city,loc,New Haven,,,,False
,date,"Tuesday, Nov. 3, 1903",,,,False
cultural heritage institution,loc,the gallery,,,,False
artist-painter,per,Gentile de Fabriano,,,,False
painting,misc,Madonna,,,,False
artist-painter,per,Neroccio,,,,False
painting,misc,Annunciation,,,,False
artist-painter,per,Pollajuolo,,,,False
painting,misc,Hercules and Deianin,,,,False
artist-painter,per,P. Lorenzetti,,,,False
painting,misc,Assunta,,,,False
artist-painter,per,Sassetta,,,,False
painting,misc,Temptations of Antony,,,,False
artist-painter,per,Simone Martini,,,,False
painting,misc,St. Martin,,,,False
artist-painter,per,Benvenuto <di Giovanni>,,,,False
painting,misc,Madonna,,,,False
artist-painter,per,Benvenuto <di Giovanni>,,,,False
painting,misc,Love Bound <by Maidens>,,,,False
artist-painter,per,Girolamo da Cremona,,,,False
painting,misc,Nativity,,,,False
artist-painter,per,Ghirlandajo,,,,False
painting,misc,Woman's Head,,,,False
artist-painter,per,Sano,,,,False
painting,misc,Adoration of the Magi,,,,False
artist-painter,per,Sano,,,,False
painting,misc,Coronation <of the Virgin>,,,,False
artist-painter,per,Giovanni di Paolo,,,,False
artist-painter,per,Miss Hale,,,,False
,per,Mr. Jackson,,,,False
club,loc,Country Club,exact,,Country Club,True
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Nov. 4, 1903",,,,False
art historian,per,Bernhard,exact,,Bernhard,False
city,loc,New York,exact,,New York,True
artist-writer,per,Hutchins Hapgood,,,,False
artist-writer,per,Neith,,,,False
,per,Neith's father,,,,False
artist-writer,per,Hutch,,,,False
artist-writer,per,Peter Dunne ,,,,False
book,misc,Autobiography of a Thief ,,,,False
book,misc,The Forerunner,,,,False
city,loc,New York,exact,,New York,True
art historian,per,Bernhard,exact,,Bernhard,False
art collector,per,Davis,exact,,Davis,True
,per,Mr. Cannon,,,,False
business,loc,Chase Bank,,,,False
,per,Mr. Cannon,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
"school, part of",loc,Jarves Collection,,,,False
professor,per,Prof. Niemeyer,,,,False
painting,misc,"the ""Botticelli""",,,,False
artist-painter,per,Botticelli,,,,False
painting,misc,The Birth of Venus,,,,False
artist-painter,per,[Botticelli],,,,False
artist-photographer,per,Mr. Randall,,,,False
city,loc,New Haven,,,,False
city,loc,Hartford,,,,False
professor,per,Prof. Wier,,,,False
scholar,per,Mr. Randall's wife,,,,False
school,loc,Yale,,,,False
thesis,misc,"""The Origins of Spenser's Mythology""",,,,False
public figure,per,Judge Bronson,,,,False
painting,misc,[painting by Luini],,,,False
artists-painter,per,Luini,,,,False
painting,misc,a copy of a Titian,,,,False
artists-painter,per,Titian,,,,False
,per,Mrs. Judge,,partial,Mrs.,True
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
,per,Mr. Jackson,,,,False
transportation vessel,misc,"""the Knickerbocker Express""",,,,False
public figure,per,Lady Lou,,,,False
artist-writer,per,Bertie,,,,False
book,misc,Bertie's book,,,,False
magazine,misc,The Spectator,,,,False
misc,org,Select Circle of Thinkers,,,,False
artist-writer,per,Mr. Russell,,,,False
artist-writer,per,Logan,exact,,Logan,False
artist-writer,per,Bertie,,,,False
misc,org,Select Circle of Thinkers,,,,False
book,misc,Bertie's book,,,,False
artist-writer,per,Bertie,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Thursday, Nov. 5, 1903",,,,False
street,loc,Commonwealth Avenue,,,,False
art historian,per,B.B.,,,,False
,per,Mrs. Taylor,,partial,Mrs.,True
street,loc,Bay State Road,,,,False
,per,Wren,,,,False
city,loc,Chichester,,,,False
,per,Mrs. Taylor,,partial,Mrs.,True
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
,loc,Green Hill,exact,,Green Hill,False
political,org,the Government,,,,False
cultural heritage institution,loc,her Museum,,,,False
art historian,per,B.B.,,,,False
art historian,per,Matthew Pritchard,,,,False
art collector,per,Ned Warren,,,,False
public figure,per,Director of the Museum,,,,False
art collector,per,Davis,exact,,Davis,True
cultural heritage institution,loc,the Museum,,,,False
painting,misc,The famous forgery,,,,False
painting,misc,The Donna Laura Minghetti Leonardo,,,,False
artist-painter,per,Leonardo,,,,False
art collector,per,Davis,exact,,Davis,True
art historian,per,Pritchard,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Friday, Nov. 6, 1903",,,,False
,per,the parents [Mr. Berenson],,,,False
,per,the parents [Mrs. Berenson],,partial,Mrs.,True
neighborhood,loc,Dorchester,exact,,Dorchester,True
art historian,per,B.B.,,,,False
cultural heritage institution,loc,the Museum,,,,False
artist-painter / curator,per,Chalfin,exact,,Chalfin,False
art described by region,misc,[Japanese art],,partial,Japanese,True
art described by region,misc,Chinese art,,partial,Chinese,True
artist-painter / art critic,per,Roger Fry,,,,False
,per,Mrs. Barrett Wendell,,partial,Mrs.,True
,per,Mrs. Perry,,partial,Mrs.,True
artist-painter,per,Puvis de Chavannes,,,,False
painting,misc,portrait by Potter,,,,False
artist-painter,per,Potter,,,,False
scholar,per,Miss Grace Norton,,,,False
city,loc,Cambridge,,,,False
public figure / artist-painter ,per,Mr. Denman Ross,,,,False
scholar,per,Miss Norton,,,,False
religious figure,per,Apostle,,,,False
artist-painter / scholar,per,Mr. Ross,,,,False
artist-painter,per,Sargent,,,,False
art described by region,misc,[Sienese art],,,,False
proper noun adjective,misc,European,,partial,Europe,False
art described by region,misc,art of the East,,,,False
artist-painter,per,Whistler,,,,False
scholar,per,Miss Norton,,,,False
city,loc,the City,,,,False
public figure,per,Prince Henry of Prussia,,,,False
public figure,per,President Elliott,,,,False
public figure,per,Emperor,,,,False
public figure,per,Prince Henry  ,,,,False
cultural heritage institution,loc,Germanic Museum,,,,False
,per,Senda,,,,False
family unit,org,the B.B.'s ,,,,False
professor,per,Mr. Pierce,,,,False
artist-painter,per,Helen Fry,,,,False
medical,loc,Asylum,,,,False
,per,Roger ,,,,False
,per,B.B.,,,,False
art historian,per,Claude Phillips,,,,False
curator,per,Colvin,,,,False
business,org,Burlington,,,,False
art historian,per,Cook,,,,False
,per,B.B.,,,,False
artist-painter,per,Helen  ,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Saturday, Nov. 7, 1903",,,,False
cultural heritage institution,loc,Museum,,partial,Art Museum,True
painting,misc,the so-called Rogier van der Weyden,,,,False
artist-painter,per,Rogier van der Weyden,,,,False
painting,misc,the other indubitable Rogiers,,,,False
artist-painter,per,Rogiers,,,,False
painting,misc,the one in Munich,,,,False
,per,Bernhard,exact,,Bernhard,False
artist-painter,per,Maître de Flémalle,,,,False
artist-painter / curator,per,Mr. Chalfin,,partial,Chalfin,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
,per,Cushing-Cochrane,,,,False
artist-painter,per,Cushing-Cochrane,,,,False
artist-writer,per,Norman Hapgood,,,,False
art collector,per,Mrs. G ,,partial,Mrs.,True
cultural heritage institution,loc,Fenway Court,,,,False
artist-writer,per,Norman  ,,,,False
artist-writer,per,Peter Dunn,,,,False
literary,per,Misther Dooley,,,,False
athlete / artist-writer,per,Mrs. Abbott,,partial,Mrs.,True
athlete ,per,"his wife, her daughter",,,,False
art collector,per,Mrs. Gardner,exact,,Mrs. Gardner,True
athlete ,per,the daughter,,,,False
athlete / artist-writer,per,Mrs. Abbott,,partial,Mrs.,True
,per,Jo Smith,,,,False
artist-writer,per,Leslie Hopkinson,exact,,Leslie Hopkinson,True
city,loc,Cambridge,,,,False
religious figure,per,Miss Hughes,,,,False
religious,misc,Unitarian,,,,False
,per,Miss Yerxes,,,,False
,per,Miss Allyn,,,,False
artist-writer,per,Miss Hopkinson,,,,False
school,loc,Radcliffe,,,,False
"school, part of",loc,Bertram Hall,,,,False
architect,per,Wadsworth Longfellow,,,,False
street,loc,Berkeley Street,,,,False
street,loc,Appian Way,,,,False
school,loc,“Annex”,,,,False
street,loc,Brattle Street,,,,False
street,loc,Berkeley Street,,,,False
,per,B.F.C.C.,,,,False
scholar,per,Santayana,exact,,Santayana,False
street,loc,Brattle Street,,,,False
curator,per,the Robinsons [Mr Robinson],,,,False
,per,the Robinsons [Mrs. Robinson],,partial,Mrs.,True
scholar,per,Barrett Wendell,,,,False
,per,[Mrs. Wendell],,partial,Mrs.,True
