note,type,value,exactMatch,partialMatch,matchValue,typeMatch
artist-poet,per,J. Gordon Kugler,exact,,J. Gordon Kugler,True
,misc,The South,,partial,South,True
city,loc,Newport,exact,,Newport,True
,per,Mrs. Davis,,partial,Davis,True
,per,Mrs. Andrews,,partial,Andrew,True
,per,Sophy Buffum,,partial,"Sophy Buffum,3",False
country,loc,Europe,exact,,Europe,False
,per,Miss Busk,,partial,Busk,True
accomodation,loc,The Reef,,partial,Reef,True
city,loc,Newport,exact,,Newport,True
,date,"Sunday, Oct. 11, 1903",exact,,"Sunday, Oct. 11, 1903",True
art collector,per,Mr. Davis,,partial,Davis,True
?,misc,Egyptian illustrated books,,partial,Egypt,False
art described by region,misc,Italian pictures,,partial,Italian,True
painting,misc,the famous Forgery (Filippino),,partial,Forgery (Filippino,False
artist-painter,per,Filippino,,partial,Forgery (Filippino,False
painting,misc,Tricca-Leonardo,,partial,Tricca,False
artist-painter,per,Leonardo,,,,False
artist-painter,per,Tricca,exact,,Tricca,True
painting,misc,The little forgery,,,,False
artist-writer,per,Logan,exact,,Logan,True
art collector,per,Mr. Davis,,partial,Davis,True
cultural,org,Philharmonic orchestra,,,,False
city,loc,Boston,exact,,Boston,True
cultural ,org,a theatrical troupe,,,,False
city,loc,New York,exact,,New York,True
cultural,org,New York Theatre,,partial,Theatre,False
public figure,per,Mr. Longyear,,partial,Longyear,True
city,loc,Marquette,,,,False
cultural heritage institution,loc,opera house,,,,False
religious figure,per,his wife,,,,False
,per,Mr. Coates,,partial,Coates,True
,per,Mr. Berevin,,,,False
,per,Mr. Taylor,,,,False
,per,Mrs. Winty Chandler,,,,False
art collector,per,Mr. Davis,,partial,Davis,True
country,loc,Egypt,exact,,Egypt,True
historic,loc,Tomb of Totmes IV,,partial,Tomb,False
historic,per,Totmes IV,,,,False
historic,loc,Tomb of the Queen Hatasu,,partial,Queen Hatasu,True
historic,per,Queen Hatasu,exact,,Queen Hatasu,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,False
,date,"Monday, Oct. 12, 1903",exact,,"Monday, Oct. 12, 1903",True
landmark,loc,Old Point,,partial,the Old Point,False
,per,Grandpa Cope,,partial,Grandpa,False
,per,Rachel,exact,,Rachel,True
city,loc,Boston,exact,,Boston,True
,per,Miss Sellers,exact,,Miss Sellers,True
,per,The Father,,,,False
,per,The Mother,,partial,the Mother Superior,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,False
,date,"Tuesday, Oct. 13, 1903",exact,,"Tuesday, Oct. 13, 1903",True
city,loc,Boston,exact,,Boston,True
,per,Rachel,exact,,Rachel,True
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,False
,date,"Wednesday, Oct. 14, 1903",,partial,"Wednesday, Oct. 14, 1903 Walked",True
landmark,loc,Blue Hill,exact,,Blue Hill,False
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,False
,date,"Thursday, Oct. 15, 1903",exact,,"Thursday, Oct. 15, 1903",True
city,loc,Cambridge,exact,,Cambridge,True
,per,Mrs. Toy,,,,False
scholar,per,Santayana,exact,,Santayana,False
,per,Leslie Hopkinson,exact,,Leslie Hopkinson,True
,per,Mr. Andrew,,partial,Andrew,True
instrument,misc,Orchestrelle,exact,,Orchestrelle,False
,per,Rachel,exact,,Rachel,True
address / accomodation,loc,189 Grampian Way,,partial,Grampian,False
neighborhood,loc,Dorchester,exact,,Dorchester,False
,date,"Friday, Oct. 16, 1903",exact,,"Friday, Oct. 16, 1903",True
accomodation,loc,Willowbrook Cottage,exact,,Willowbrook Cottage,False
city,loc,Beverly,,,,False
,per,Gertrude,exact,,Gertrude,True
,per,Mrs. Tyler,,partial,Tyler,True
,per,"""Brother Charles""",,partial,Charles,True
,per,Gertrude,exact,,Gertrude,True
,per,[Gertrude's Mother],,partial,Gertrude,True
religious figure,per,Rabbi Fleischer,exact,,Rabbi Fleischer,False
,per,Michliszanski,,partial,Michliszanski5 for,False
,per,Goldman,exact,,Goldman,True
artist-writer,per,Tolstoi,,partial,Tolstoi?s,True
,per,Hinda Coen (née Schwarz),,partial,Hinda Coen,True
,per,James,exact,,James,True
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Saturday, Oct. 17, 1903",,partial,"Oct. 17, 1903",True
art collector,per,Mrs. Jack Gardner,,partial,Gardner,True
art collector,per,Mrs. Gardner,,partial,Gardner,True
artist-musician,per,Proctor the musician,,partial,Proctor,True
cultural heritage institution,loc,Symphony Concert,exact,,Symphony Concert,False
cultural,misc,Symphony Concert,exact,,Symphony Concert,False
cultural,org,[Boston Symphony Orchestra],,partial,Boston,False
artist-composer,per,Tschaikowski,exact,,Tschaikowski,True
,misc,[Tschaikowski's music],,partial,Tschaikowski,False
artist-composer,per,Bruneau,exact,,Bruneau,True
,misc,[Bruneau's music],,partial,Bruneau,False
artist-composer,per,Brahms,exact,,Brahms,True
,misc,[Brahms' music],,partial,Brahms,False
artist-painter,per,Mrs. Sarah Whitman,,partial,Sarah Whitman,True
professor,per,Josiah Royce,exact,,Josiah Royce,True
,per,Bob,exact,,Bob,True
scholar,per,George Moore,exact,,George Moore,True
,per,Mrs. Parkman,,partial,Parkman,True
public figure,per,[Mr. Higginson],,partial,Higginson,True
,per,Mrs. Higginson,,partial,Higginson,True
cultural,misc,the Concerts,,partial,Concerts,True
art collector,per,Mrs. Gardner,,partial,Gardner,True
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Sunday, Oct. 18, 1903",exact,,"Sunday, Oct. 18, 1903",True
art collector,per,her,,partial,Rabbi Fleischer,False
cultural heritage institution,loc,Arboretum,,partial,Bore,False
club,loc,Country Club,,partial,the Country Club,False
,per,famous divorcée,,,,False
,per,famous corespondent,,,,False
,per,Mr. Dwight,,partial,Dwight,True
,per,Mr. Swift,,partial,Swift,True
scholar,per,Santayana,exact,,Santayana,False
scholar,per,Santayana,exact,,Santayana,False
public figure ,per,Mr. Strong,,partial,Strong,True
city,loc,Lakewood,exact,,Lakewood,True
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Monday, Oct. 19, 1903",,partial,"Monday, Oct. 19, 1903 Walked",True
city,loc,Boston,exact,,Boston,True
cultural heritage institution,loc,the Library,,partial,Library,True
artist-painter,per,Puvis,exact,,Puvis,False
painting,misc,[paintings by Puvis],,partial,Puvis,False
mural,misc,the large one around the door of Bates hall,,partial,Bates Hall,True
"cultural heritage institution, part of",loc,Bates Hall,exact,,Bates Hall,False
artist-painter,per,Abbey,,partial,Abbeys,False
mural,misc,The Abbeys,,partial,Abbeys,False
artist-painter,per,Sargeant,,partial,Sargeants7,False
mural,misc,The Sargeants,,,,False
public figure,per,Mrs. Gardner,,partial,Gardner,True
artist-musician,per,Mr. Proctor,,partial,Proctor,True
,per,Evelyn,,partial,Evelyn?s8,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
scholar,per,Edward Everett Hale,exact,,Edward Everett Hale,True
art collector,per,Mrs. Gardner,,partial,Gardner,True
lawyer,per,Mr. John Grey,,,,False
,per,his wife,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
,per,Clayton Johns,exact,,Clayton Johns,True
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Tuesday, Oct. 20, 1903",exact,,"Tuesday, Oct. 20, 1903",True
artist-musician,per,Helen Hopekirk (Wilson),,partial,Wilson,False
,per,her husband,,,,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
cultural heritage institution,loc,Art Museum,,partial,Museum,True
artist-painter / curator,per,Chalfin,exact,,Chalfin,False
?,misc,scroll,,,,False
,date,1250,,partial,about 1250,True
cultural heritage institution,loc,the Museum,,partial,Museum,True
music administrator,per,Gerricke,,partial,Gerricke9,True
"school, part of",loc,Jordan Hall,,partial,the Jordan Hall,False
school ,loc,Conservatory,,,,False
,misc,C major toccata and fugue of Bach,,partial,Bach,False
artist-composer,per,Bach,exact,,Bach,True
public figure,per,Mr. Higginson,,partial,Higginson,True
,misc,concerto by Schumann (A minor),,partial,Schumann,False
artist-composer,per,Schumann,exact,,Schumann,True
,misc,"""Ouverture"" by Chaplin",,partial,Chaplin,False
artist-musician,per,Chaplin,exact,,Chaplin,True
,misc,Eroica,exact,,Eroica,True
artist-composer,per,[Beethoven],,,,False
,per,[Mr. Lang],,partial,Lang,True
,per,Mrs. Lang,,partial,Lang,True
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Wednesday, Oct. 21, 1903",exact,,"Wednesday, Oct. 21, 1903",True
cultural heritage location,loc,the Library,,partial,Library,True
,per,T.H. Perry,,,,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
landmark,loc,the gardens,,,,False
landmark,loc,Franklin Park,exact,,Franklin Park,True
artist-playwright,per,Owen Wister,exact,,Owen Wister,True
artist-actor,per,Dunstan Farnum,exact,,Dunstan Farnum,True
,per,Webster,exact,,Webster,True
state,loc,Virginia,exact,,Virginia,True
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Thursday, Oct. 22, 1903",exact,,"Thursday, Oct. 22, 1903",True
cultural,misc,exhibition of Japanese things,,partial,Japanese,True
public figure / artist-painter,per,Mr. Ross (Denman),,partial,Denman,False
,per,Mr. Theodore Dwight,,partial,Theodore Dwight,True
artist-playwright,per,Mr. Owen Wister,,partial,Owen Wister,True
scholar,per,William James,,partial,James,True
artist-painter,per,Mrs. Whitman,,,,False
,per,Mrs. Bell,,,,False
,per,"""Piggy"" Everett",,,,False
scholar,per,E.E. Hale,,,,False
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Friday, Oct. 23, 1903",,,,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
neighborhood,loc,Beverly Farms,,,,False
artist-painter,per,Mrs. Whitman,,,,False
,per,Mrs. Parkman,,partial,Parkman,True
architect,per,Mr. Barton,,,,False
,per,Miss Pendleton,,,,False
city,loc,Philadelphia,,,,False
artist-painter,per,Botticelli,,,,False
photography,misc,photographs of false Botticellis,,,,False
artist-painter,per,Mrs. Whitman,,,,False
,per,B.B.,exact,,B.B.,True
,per,Mr. Dwight,,partial,Dwight,True
artist-painter,per,Mrs. Whitman,,,,False
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Saturday, Oct. 24, 1903",,,,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
city,loc,Cambridge,exact,,Cambridge,True
,loc,The Union,,,,False
professor,per,Archie Coolidge,,,,False
cultural,misc,Football Match,,,,False
athletic team,org,Harvard,,,,False
athletic team,org,Brown,,,,False
 misc,org,DKE neophytes,,,,False
cultural heritage institution,loc,Symphony Concert,exact,,Symphony Concert,False
cultural,misc,Symphony Concert,exact,,Symphony Concert,False
,misc,Beethoven 115,,,,False
artist-composer,per,[Beethoven],,,,False
,misc,Waldweben,,,,False
artist-composer,per,Wagner,,,,False
,misc,Violin Concerto,,,,False
artist-composer,per,Mendelssohn ,,,,False
,misc,a piece (tango) of the soloist,,,,False
artist-musician,per,the soloist,,,,False
artist-musician,per,Mr. Arbos,,,,False
artist-composer,per,[Alexander Glazunov],,,,False
,misc,Glazonnoff symphony,,,,False
artist-composer,per,Bach,exact,,Bach,True
accomodation,loc,Green Hill,exact,,Green Hill,True
city,loc,Brookline,exact,,Brookline,True
,date,"Sunday, Oct. 25, 1903",,,,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
artist-musician,per,Mr. Proctor,,partial,Proctor,True
city,loc,Dedham,,,,False
artist-musician,per,Mr. Foote,,,,False
religious,loc,Berkeley St. Church,,,,False
,per,his charming daughter,,,,False
,per,nice wife,,,,False
artist-musician,per,Mr. Harold Bauer,,,,False
,per,Miss Foote,,,,False
artist-composer,per,Scarlatti,,,,False
,misc,[Scarlatti composition],,,,False
,misc,"""Irish Melody""",,,,False
artist-musician,per,her father ,,,,False
,per,Mrs. Thorndyke,,,,False
,per,Sherman,,,,False
,per,Miss Dana,,,,False
,per,Charley Gibson,,partial,Gibson,True
,per,"[a Bavarian Count, unnamed]",,,,False
,per,Mr. Swift,,partial,Swift,True
artist-painter / curator,per,Mr. Chalfin,,partial,Chalfin,False
,per,Miss Pendleton,,,,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
artist-writer,per,Miss Seward,,,,False
art collector,per,Mrs. Gardner's,,partial,Gardner,True
accomodation,loc,Plymouth Inn,,,,False
city,loc,Northampton,,,,False
,date,"Monday, Oct. 26, 1903",,,,False
art collector,per,our hostess,,,,False
cultural heritage institution,loc,Boston Museum,,partial,Museum,True
art historian,per,Bernhard,exact,,Bernhard,False
public figure,per,Mr. Higginson,,partial,Higginson,True
?,misc,voluptuous nude lady,,,,False
artist-painter,per,Bonifazio,,,,False
architect,per,Mr. Francis Hooper,,,,False
art historian,per,Berenson,,partial,Mary Whitall Berenson,True
art historian,per,B.B.,exact,,B.B.,True
public figure,per,Mr. Higginson,,partial,Higginson,True
,per,Abe,,,,False
city,loc,Springfield,,,,False
teacher,per,Senda,,,,False
teacher,per,Bessie,,,,False
accomodation,loc,Plymouth Inn,,,,False
city,loc,Northampton,,,,False
,date,"Tuesday, Oct. 27, 1903",,,,False
artist-playwright,per,Owen Wister,exact,,Owen Wister,True
artist-actor,per,the Virginian in person,,partial,Virginia,False
artist-writer,per,Norman Hapgood,,,,False
academic,org,Harvard,,,,False
artist-playwright,per,Owen Wister,exact,,Owen Wister,True
city,loc,London,,,,False
country,loc,Japan,,partial,Japanese,False
artist-actor,per,Sadi Yacco,,,,False
teacher,per,Senda,,,,False
professor,per,Gardiner,,,,False
professor,per,Pierce,,,,False
professor,per,Souza,,,,False
professor,per,Jordan,,partial,the Jordan Hall,False
professor,per,Hubbard,,,,False
public figure,per,Pres. Seely,,,,False
accomodation,loc,Plymouth Inn,,,,False
city,loc,Northampton,,,,False
,date,"Wednesday, Oct. 28, 1903",,,,False
city,loc,Hatfield,,,,False
,per,Florence,,partial,Florence Trip,True
teacher,per,Senda,,,,False
,per,MIss Moffat,,,,False
artist-writer,per,Mr. George Cabe,,,,False
horse,misc,Antecellere,,,,False
,per,Florence,,partial,Florence Trip,True
professor,per,Prof. Phelps,,,,False
accomodation,loc,Plymouth Inn,,,,False
city,loc,Northampton,,,,False
,date,"Thursday, Oct. 29, 1903",,,,False
lecture,misc,my lecture,,,,False
,per,The Hinckleys,,,,False
,per,The Hinckleys,,,,False
region,loc,Surrey,,,,False
region,loc,Umbria,,,,False
lecture,misc,"""How to Enjoy the Old Masters""",,,,False
school,loc,Smith College,,,,False
art historic,org,Old Masters,,,,False
public figure,per,President Seelye,,,,False
academic,org,[Smith College],,,,False
,per,Mother,,partial,the Mother Superior,False
,per,Mrs. Rosseter,,partial,Ross,True
"school, part of",loc,Dewey House,,,,False
professor,per,Mr. Gardiner,,,,False
school ,loc,Smith College,,,,False
,date,"Friday, Oct. 30, 1903",,,,False
,per,Mrs. Berenson,,,,False
teacher,per,Senda,,,,False
teacher,per,Bessie,,,,False
artist-actor,per,Duse,,,,False
school,loc,Amherst,,,,False
professor,per,Mr. Wilkins,,,,False
professor,per,Prof. Este,,,,False
"school, part of",loc,President's house,,,,False
landmark,loc,Mt. Tom,,,,False
profesor,per,[Prof. Pearce],,,,False
profesor,per,[Prof. Sioussat],,,,False
landmark,loc,the river,,,,False
school ,loc,Smith College,,,,False
,date,"Saturday, Oct. 31, 1903",,,,False
,per,Miss Jordan,,,,False
,per,Miss Bourland,,,,False
city,loc,Deerfield,,,,False
landmark,loc,quaint burial ground,,,,False
teacher,per,Senda,,,,False
cultural,misc,Basket Ball game ,,,,False
teacher,per,Senda,,,,False
teacher,per,Bessie,,,,False
,per,Abe,,,,False
,per,the Mother,,partial,the Mother Superior,False
,per,the Father,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
,per,Miss Hubbard,,,,False
,per,Mr. Field,,,,False
,per,Mr. Cooper,,,,False
,per,Miss Hubbard,,,,False
teacher,per,Senda,,,,False
school ,loc,Smith College,,,,False
,date,"Sunday, Nov. 1, 1903",,,,False
,per,Miss Mitchell,,,,False
"school, part of",loc,Morris House,,,,False
,per,The Hinckleys,,,,False
,per,The Hinckleys,,,,False
public figure,per,President Seelye,,,,False
,per,Miss Hesse,,,,False
,per,Miss Hoffat,,,,False
,per,Zanetti,,,,False
artist-writer,per,Mr. Cable,,,,False
art historian,per,B.B.,exact,,B.B.,True
professor,per,Mr. Pearce,,,,False
professor,per,Mr. Sioussat,,,,False
,per,Miss Scott,,,,False
social reformer,per,Gertrude Burton,,partial,Gertrude,True
scholar,per,Einstein,,,,False
accomodation,loc,New Haven House,,,,False
city,loc,New Haven,,,,False
,date,"Monday, Nov. 2, 1903",,,,False
family unit,org,The Berensons,,,,False
art collection,misc,Jarves Collection,,,,False
city,loc,Pisa,,,,False
city,loc,Arezzo,,,,False
professor,per,Wier,,,,False
professor,per,Niemeyer,,,,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
,per,Miss Jackson,,,,False
family unit,org,the Whitneys,,,,False
,per,Beatrice Chamberlain,,,,False
professor,per,Prof. Whitney,,,,False
,per,[Mrs. _Whitney],,,,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
,per,Evelyn,,partial,Evelyn?s8,False
,per,Helen Fry,,,,False
,per,Roger,,,,False
accomodation,loc,New Haven House,,,,False
city,loc,New Haven,,,,False
,date,"Tuesday, Nov. 3, 1903",,,,False
cultural heritage institution,loc,the gallery,,,,False
artist-painter,per,Gentile de Fabriano,,,,False
painting,misc,Madonna,,,,False
artist-painter,per,Neroccio,,,,False
painting,misc,Annunciation,,,,False
artist-painter,per,Pollajuolo,,,,False
painting,misc,Hercules and Deianin,,,,False
artist-painter,per,P. Lorenzetti,,,,False
painting,misc,Assunta,,,,False
artist-painter,per,Sassetta,,,,False
painting,misc,Temptations of Antony,,,,False
artist-painter,per,Simone Martini,,,,False
painting,misc,St. Martin,,,,False
artist-painter,per,Benvenuto <di Giovanni>,,,,False
painting,misc,Madonna,,,,False
artist-painter,per,Benvenuto <di Giovanni>,,,,False
painting,misc,Love Bound <by Maidens>,,,,False
artist-painter,per,Girolamo da Cremona,,,,False
painting,misc,Nativity,,,,False
artist-painter,per,Ghirlandajo,,,,False
painting,misc,Woman's Head,,,,False
artist-painter,per,Sano,,,,False
painting,misc,Adoration of the Magi,,,,False
artist-painter,per,Sano,,,,False
painting,misc,Coronation <of the Virgin>,,,,False
artist-painter,per,Giovanni di Paolo,,,,False
artist-painter,per,Miss Hale,,,,False
,per,Mr. Jackson,,,,False
club,loc,Country Club,,partial,the Country Club,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Wednesday, Nov. 4, 1903",,,,False
art historian,per,Bernhard,exact,,Bernhard,False
city,loc,New York,exact,,New York,True
artist-writer,per,Hutchins Hapgood,,,,False
artist-writer,per,Neith,,,,False
,per,Neith's father,,,,False
artist-writer,per,Hutch,,,,False
artist-writer,per,Peter Dunne ,,,,False
book,misc,Autobiography of a Thief ,,,,False
book,misc,The Forerunner,,,,False
city,loc,New York,exact,,New York,True
art historian,per,Bernhard,exact,,Bernhard,False
art collector,per,Davis,exact,,Davis,True
,per,Mr. Cannon,,,,False
business,loc,Chase Bank,,,,False
,per,Mr. Cannon,,,,False
art historian,per,Bernhard,exact,,Bernhard,False
"school, part of",loc,Jarves Collection,,,,False
professor,per,Prof. Niemeyer,,,,False
painting,misc,"the ""Botticelli""",,,,False
artist-painter,per,Botticelli,,,,False
painting,misc,The Birth of Venus,,,,False
artist-painter,per,[Botticelli],,,,False
artist-photographer,per,Mr. Randall,,,,False
city,loc,New Haven,,,,False
city,loc,Hartford,,,,False
professor,per,Prof. Wier,,,,False
scholar,per,Mr. Randall's wife,,,,False
school,loc,Yale,,,,False
thesis,misc,"""The Origins of Spenser's Mythology""",,,,False
public figure,per,Judge Bronson,,,,False
painting,misc,[painting by Luini],,,,False
artists-painter,per,Luini,,,,False
painting,misc,a copy of a Titian,,,,False
artists-painter,per,Titian,,,,False
,per,Mrs. Judge,,,,False
artist-painter,per,Ellen Hale,exact,,Ellen Hale,True
,per,Mr. Jackson,,,,False
transportation vessel,misc,"""the Knickerbocker Express""",,,,False
public figure,per,Lady Lou,,,,False
artist-writer,per,Bertie,,,,False
book,misc,Bertie's book,,,,False
magazine,misc,The Spectator,,,,False
misc,org,Select Circle of Thinkers,,,,False
artist-writer,per,Mr. Russell,,,,False
artist-writer,per,Logan,exact,,Logan,True
artist-writer,per,Bertie,,,,False
misc,org,Select Circle of Thinkers,,,,False
book,misc,Bertie's book,,,,False
artist-writer,per,Bertie,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Thursday, Nov. 5, 1903",,,,False
street,loc,Commonwealth Avenue,,,,False
art historian,per,B.B.,exact,,B.B.,True
,per,Mrs. Taylor,,,,False
street,loc,Bay State Road,,,,False
,per,Wren,,,,False
city,loc,Chichester,,,,False
,per,Mrs. Taylor,,,,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
,loc,Green Hill,exact,,Green Hill,True
political,org,the Government,,,,False
cultural heritage institution,loc,her Museum,,partial,Museum,True
art historian,per,B.B.,exact,,B.B.,True
art historian,per,Matthew Pritchard,,,,False
art collector,per,Ned Warren,,,,False
public figure,per,Director of the Museum,,partial,Museum,False
art collector,per,Davis,exact,,Davis,True
cultural heritage institution,loc,the Museum,,partial,Museum,True
painting,misc,The famous forgery,,,,False
painting,misc,The Donna Laura Minghetti Leonardo,,,,False
artist-painter,per,Leonardo,,,,False
art collector,per,Davis,exact,,Davis,True
art historian,per,Pritchard,,,,False
accomodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Friday, Nov. 6, 1903",,,,False
,per,the parents [Mr. Berenson],,,,False
,per,the parents [Mrs. Berenson],,,,False
neighborhood,loc,Dorchester,exact,,Dorchester,False
art historian,per,B.B.,exact,,B.B.,True
cultural heritage institution,loc,the Museum,,partial,Museum,True
artist-painter / curator,per,Chalfin,exact,,Chalfin,False
art described by region,misc,[Japanese art],,partial,Japanese,True
art described by region,misc,Chinese art,,partial,Chinese,True
artist-painter / art critic,per,Roger Fry,,,,False
,per,Mrs. Barrett Wendell,,,,False
,per,Mrs. Perry,,,,False
artist-painter,per,Puvis de Chavannes,,partial,Puvis,False
painting,misc,portrait by Potter,,,,False
artist-painter,per,Potter,,,,False
scholar,per,Miss Grace Norton,,partial,Grace,False
city,loc,Cambridge,exact,,Cambridge,True
public figure / artist-painter ,per,Mr. Denman Ross,,partial,Denman,False
scholar,per,Miss Norton,,,,False
religious figure,per,Apostle,,,,False
artist-painter / scholar,per,Mr. Ross,,partial,Ross,True
artist-painter,per,Sargent,,,,False
art described by region,misc,[Sienese art],,,,False
proper noun adjective,misc,European,,partial,Europe,True
art described by region,misc,art of the East,,,,False
artist-painter,per,Whistler,,partial,Turner - Whistler-esque,False
scholar,per,Miss Norton,,,,False
city,loc,the City,,,,False
public figure,per,Prince Henry of Prussia,,,,False
public figure,per,President Elliott,,,,False
public figure,per,Emperor,,,,False
public figure,per,Prince Henry  ,,,,False
cultural heritage institution,loc,Germanic Museum,,partial,Museum,True
,per,Senda,,,,False
family unit,org,the B.B.'s ,,partial,B.B.,False
professor,per,Mr. Pierce,,,,False
artist-painter,per,Helen Fry,,,,False
medical,loc,Asylum,,,,False
,per,Roger ,,,,False
,per,B.B.,exact,,B.B.,True
art historian,per,Claude Phillips,,,,False
curator,per,Colvin,,,,False
business,org,Burlington,,,,False
art historian,per,Cook,,,,False
,per,B.B.,exact,,B.B.,True
artist-painter,per,Helen  ,,,,False
accommodation,loc,Hotel Somerset,,,,False
city,loc,Boston,exact,,Boston,True
,date,"Saturday, Nov. 7, 1903",,,,False
cultural heritage institution,loc,Museum,exact,,Museum,True
painting,misc,the so-called Rogier van der Weyden,,,,False
artist-painter,per,Rogier van der Weyden,,,,False
painting,misc,the other indubitable Rogiers,,,,False
artist-painter,per,Rogiers,,,,False
painting,misc,the one in Munich,,,,False
,per,Bernhard,exact,,Bernhard,False
artist-painter,per,Maître de Flémalle,,,,False
artist-painter / curator,per,Mr. Chalfin,,partial,Chalfin,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
,per,Cushing-Cochrane,,,,False
artist-painter,per,Cushing-Cochrane,,,,False
artist-writer,per,Norman Hapgood,,,,False
art collector,per,Mrs. G ,,,,False
cultural heritage institution,loc,Fenway Court,,,,False
artist-writer,per,Norman  ,,,,False
artist-writer,per,Peter Dunn,,,,False
literary,per,Misther Dooley,,,,False
athlete / artist-writer,per,Mrs. Abbott,,,,False
athlete ,per,"his wife, her daughter",,,,False
art collector,per,Mrs. Gardner,,partial,Gardner,True
athlete ,per,the daughter,,,,False
athlete / artist-writer,per,Mrs. Abbott,,,,False
