type,value,exactMatch,partialMatch,matchValue,typeMatch,note
misc,The Puvis',,,,,indicators of works of art
loc,Bates Hall,,,,,
misc,The Abbeys,,,,,indicators of works of art
misc,Sargeants,,partial,Sargeants7,,indicators of works of art
per,Evelyn,exact,,Evelyn,true,
per,Ellen Hale,exact,,Ellen Hale,true,
per,Edward Everett Hale,exact,,Edward Everett Hale,true,
per,Mr. John Grey,,,,,
per,Clayton Johns,exact,,Clayton Johns,true,
date,"Tuesday, Oct. 20, 1903",,,,,
per,Helen Hopekirk (Wilson),,,,,
loc,Art Museum,exact,,Art Museum,,
misc,curator,exact,,Curator,,professional title
per,Chaflin,,,,,
date,1250,,,,,
loc,Museum,exact,,Museum,true,
per,Gerricke,,,,,
loc,Jordan Hall,exact,,Jordan Hall,,
loc,Conservatory Building,,,,,
misc,C major toccata,,,,,title of a work
per,Bach,exact,,Bach,,
per,Mr. Higginson,,,,,
per,Schumann,,,,,
per,Chaplin,exact,,Chaplin,,
misc,Eroica,,,,,title of a work
per,Mr. and Mrs. Lang,,,,,
date,"Wednesday, Oct. 21, 1903",,,,,
per,T.H. Perry,,,,,
loc,Franklin Park,exact,,Franklin Park,,
per,Owen Wister,exact,,Owen Wister,true,
misc,The Virginian,,,,,title of a work
per,Dunstan Farnum,exact,,Dunstan Farnum,true,
per,Webster,,,,,
loc,Virginia,exact,,Virginia,true,
date,"Thursday, Oct. 22, 1903",,,,,
per,Mr. Ross (Denman),,,,,
per,Mr. Theodore Dwight,exact,,Mr. Theodore Dwight,true,
per,Mr. Owen Wister,exact,,Mr. Owen Wister,true,
